id,fixture,n,strategy,seed,location,status,supply_peak_kw,delivered_energy_kwh,unmet_energy_kwh,min_voltage_pu,grid_violation_steps
e9c2233722c2531005fc,2025-12-1.2-regulated-normal,3000,immediate,61002,home,passed,231377.38517993718,42000.0,0,0.9586357173853219,0
ea60346ca146fbb771b1,2025-12-1-as_supplied-normal,1000,capacity_aware,61003,home,failed,231949.31066123908,14000.0,0,0.9366128671186462,19
eb57c0d3a4b4c2d6b67e,2025-06-1-as_supplied-normal,1000,fixed_delay,61002,home,passed,145406.79138918503,14000.0,0,0.9722657747997784,0
ec7eacc0ea7e94481656,2025-06-1-as_supplied-normal,40000,capacity_aware,61002,home,failed,149982.6582375625,82390.33881428286,477609.66118571715,0.9531598561205064,0
ec84acfc7a1707aa1bb7,2024-09-1-as_supplied-normal,0,immediate,61001,home,passed,158096.36453082322,0,0,0.967908784378285,0
ece6a3f99d44af6b0d78,2025-06-1-as_supplied-normal,1000,capacity_aware,61002,work,passed,145406.79138911387,14000.0,0,0.9722657747998925,0
ed2504bb470d37fe43d3,2025-12-1-as_supplied-normal,0,immediate,61001,home,failed,231949.31066031588,0,0,0.9366128671186653,19
ee93257219605d7831b6,2025-06-1-as_supplied-normal,5500,capacity_aware,61001,home,failed,147710.33377552763,76976.88000000003,23.119999999999997,0.9501207701602113,0
eeeba543eaca8fa32f62,2024-05-1-as_supplied-normal,0,immediate,61001,home,passed,145609.71982401522,0,0,0.9722295259309433,0
f035da8129cf6494884a,2025-06-1-as_supplied-normal,5000,capacity_aware,61003,public,passed,151786.9682654515,70000.0,0,0.9704940011894485,0
f04dadcff63f15e1301c,2025-06-1-as_supplied-normal,80000,capacity_aware,61003,work,failed,178560.5303217486,499121.7689890154,620878.2310109849,0.9504915482837012,0
f07c66b1951cde072cd0,2025-12-1-as_supplied-normal,1000,capacity_aware,61003,work,failed,231949.3106602297,14000.0,0,0.9366128671188307,19
f138d2a86667d2ea9141,2025-06-1-as_supplied-normal,6500,immediate,61001,public,failed,153734.30760235194,91000.0,0,0.9700237247573462,2
f242c9fcae446d1b02a9,2025-06-1-as_supplied-normal,1000,immediate,61003,work,passed,145406.79138911224,14000.0,0,0.9722657747998757,0
f2e1547e61b4477542a8,2025-12-1.2-regulated-normal,22500,capacity_aware,61001,home,failed,232291.9501422679,310123.07244564424,4876.927554356261,0.9567610350099436,0
f30b9a87fcb46526cf33,2025-12-1.2-regulated-normal,0,capacity_aware,61003,home,passed,219999.9973414636,0,0,0.9633167662208298,0
f3ee28585787f260e7de,2025-06-1-as_supplied-normal,7500,capacity_aware,61003,home,failed,150027.64386149458,80458.90175408978,24541.098245910256,0.9500239726235036,0
f4b1561ef63f13b25ce3,2025-12-1.2-regulated-normal,10000,valley_filling,61003,home,passed,231550.84211047893,140000.0,1.162542284660617e-12,0.9590497137144389,0
f4d82c886c0a66c9037e,2025-12-1.2-regulated-normal,21000,capacity_aware,61002,home,failed,232373.77365738212,293983.68000000017,16.320000000000068,0.9584493980189706,0
f4dc8bd0fba55742421c,2025-06-1-as_supplied-normal,1000,immediate,61001,home,passed,149241.61301961448,14000.0,0,0.9710969219819405,0
f4f583e3398bb6e13586,2025-06-1-as_supplied-normal,12500,immediate,61001,home,passed,192315.06120344723,175000.0,0,0.9550315589296648,0
f57175bd9673902612ed,2025-12-1-as_supplied-normal,1000,fixed_delay,61001,home,failed,231949.31066031588,14000.0,0,0.9366128671186653,19
f5e58cec131f93ae74e4,2025-06-1-as_supplied-normal,1000,immediate,61001,mixed,passed,148247.33930370162,14000.0,0,0.9712772112306285,0
f5ecc6811859ccf663a8,2025-06-1-as_supplied-normal,30000,capacity_aware,61002,work,failed,178113.73374529224,417276.84015464014,2723.159845361059,0.9500625359267519,0
f61cd6730cb50439d95a,2025-06-1-as_supplied-normal,0,capacity_aware,61002,public,passed,145406.79138918503,0,0,0.9722657747997784,0
f6589699b37dac6c9ba6,2024-06-1-as_supplied-normal,0,immediate,61001,home,passed,141201.30170299282,0,0,0.9738792497611308,0
f6bd14529219623ba6bc,2025-06-1-as_supplied-normal,1000,immediate,61002,public,passed,146779.15215241758,14000.0,0,0.9719275127068766,0
f73058a5c5a1698dada8,2025-06-1-as_supplied-normal,6500,capacity_aware,61003,public,passed,153725.62021667094,91000.0,0,0.969967063972896,0
f778e6a5f09f8a18e320,2025-12-1.2-regulated-normal,3000,immediate,61003,home,passed,231792.73343408585,42000.0,0,0.9589421752498497,0
f77cb99ce7050f847856,2025-06-1-as_supplied-normal,1000,least_laxity_first,61002,home,passed,149022.6937674198,14000.0,2.6645352591003757e-15,0.9710231950590933,0
f7f22e0de212cd6f1196,2024-11-1-as_supplied-normal,0,immediate,61001,home,failed,202618.35588181924,0,0,0.9498452245630947,3
fa19c4a8abe41e7bb48c,2025-12-1-as_supplied-normal,1000,immediate,61003,home,failed,235776.10903145114,14000.0,0,0.9349519722659457,19
fa7b4377a394f626f542,2025-06-1.2-voltage_only-normal,0,immediate,61001,home,passed,174488.1492282703,0,0,0.9823400907030465,0
